id_usuario,ids_restaurante_favorito
133544,11322
133544,1780
133544,2051
133544,3450
133544,7856
133544,7889
133544,9774
133544,9842
420284,2862
3540,2432
89598,1182
270834,10830
270834,3378
270834,9306
28876,12846
25938,15720
25938,7509
25938,48
25938,50
25938,2166
25938,12920
316260,12146
316260,1386
316260,3040
316260,5133
316260,545
316260,8432
28149,1887
28149,15242
28149,4058
28149,14368
28149,2254
28149,2589
8007,7710
106042,545
417040,2969
81172,7190
7488,6926
7488,6962
12786,599
283000,10202
283000,10830
283000,3252
283000,3259
283000,3450
283000,3977
283000,3998
283000,7340
283000,7602
283000,8562
193636,3870
193636,3989
193636,4192
193636,5375
193636,601
193636,6397
193636,68
193636,7249
193636,747
193636,8786
48864,7091
446316,13324
80218,1439
80218,3343
80218,6481
80218,7453
83666,6482
266338,3259
569440,126
569440,2265
569440,125
569440,6755
569440,1980
569440,393
569440,10436
569440,15152
569440,9996
569440,10750
32285,48
32285,68
735026,10750
144008,12818
144008,14154
18025,86
27682,2327
27682,2907
27682,2945
27682,2988
27682,4439
27682,6217
69693,1514
69693,1980
69693,7184
83678,11140
399784,2823
80005,6446
80005,6972
80005,8046
80005,9626
73701,48
180260,10582
180260,1060
180260,11566
180260,2007
180260,5639
180260,6322
180260,7595
180260,8082
188210,3348
161970,3119
161970,3130
161970,3177
161970,5144
161970,5535
161970,976
161970,9996
233712,11600
233712,125
233712,1650
24896,8450
24896,10136
24896,11502
24896,1576
24896,3842
24896,3961
40174,3610
40174,3610
453146,10932
453146,13004
453146,8296
513118,10878
513118,131
25218,104
25218,2795
25218,630
25218,6802
82246,6888
20748,2865
153894,149
104904,7530
13696,2327
13696,3867
13696,6755
175208,12376
78261,3259
78261,3913
27613,5639
27613,6483
27613,6937
27613,7116
27613,7188
27613,7701
27613,7782
27613,81
27613,8106
27613,8222
14438,1223
7790821f-674e-489c-ba1a-6b05cd48d08a,14878
7790821f-674e-489c-ba1a-6b05cd48d08a,15676
7790821f-674e-489c-ba1a-6b05cd48d08a,3469
7790821f-674e-489c-ba1a-6b05cd48d08a,15674
7790821f-674e-489c-ba1a-6b05cd48d08a,1735
7790821f-674e-489c-ba1a-6b05cd48d08a,6804
7790821f-674e-489c-ba1a-6b05cd48d08a,6370
7790821f-674e-489c-ba1a-6b05cd48d08a,11166
127574,11086
127574,14240
127574,6802
72393,10338
72393,231
72393,410
72393,413
72393,480
108794,1182
229694,2138
33364,125
33364,253
33364,3998
33364,48
33364,7530
33364,8432
33364,9150
64503,5987
213856,1
213856,7500
46390,3610
80236,7093
8815,11688
19129,12046
19129,2862
19129,4656
84139,4034
165934,6956
559834,1487
559834,e2d256d9-9b8a-f8b0-0cf4-560ac9aa9dc1
559834,14086
559834,1958
79243,6482
79243,6714
79243,6732
79243,6780
79243,6804
79243,7070
79243,7707
79243,7710
79243,7831
79243,8890
475034,1947
475034,2797
475034,389
475034,499
475034,501
475034,675
301518,6684
298556,4108
195096,104
195096,13368
195096,3202
195096,9582
195096,9748
354982,14688
354982,8450
102092,12698
510008,2065
385928,10528
385928,1060
385928,10920
385928,12008
385928,12334
385928,12458
385928,12666
385928,12744
385928,12758
385928,13106
412604,11762
412604,12274
412604,1264
412604,13536
412604,13608
412604,1474
412604,1932
412604,2170
412604,2245
412604,2388
75668,3003
75668,99
350360,10726
350360,1380
350360,2715
