id_usuario,id_usuario_seguido
14709,9310
11744,40855
11744,173866
11744,13208
11744,70957
11744,51396
11744,14199
11744,48268
11744,290584
11744,385776
11744,30951
113004,46845
113004,25498
113004,80248
113004,34206
113004,73632
28938,106604
28938,41160
28938,42011
28938,7629
28938,19728
28938,233780
28938,14709
28938,38971
28938,59843
28938,128836
108428,293224
108428,272622
108428,5016
108428,18390
104164,28938
104164,47995
124214,86430
20299,96
20299,6997
20299,7680
20299,28938
20299,5016
73853,233780
73853,11744
73853,148454
73853,10321
73853,19728
73853,6997
73853,20752
73853,32061
73853,20299
73853,7629
47919,37315
26600,30951
33673,73715
35326,23792
35326,3239
12587,328094
12587,40855
12587,18513
133064,194408
197126,31986
197126,38977
197126,28938
501830,11744
501830,128836
501830,4
501830,28938
501830,7
501830,5016
598688,36392
81086,6823
81086,171708
42673,112892
493810,401658
493810,40855
493810,53292
69965,5016
92888,5016
19728,14199
19728,38971
19728,42315
19728,54429
19728,18390
19728,288872
19728,128836
19728,47954
19728,538174
19728,71807
352194,330434
72188,25498
72188,46390
72188,36558
72188,5016
72188,28938
204486,36102
70957,13208
70957,11744
70957,247
24247,223114
131640,358700
131640,119530
131640,41278
523414,11744
523414,7
523414,20752
523414,128836
523414,7680
523414,73715
523414,4
523414,28938
523414,5016
523414,233780
153230,236414
39190,4
97858,5086
227236,5592
79490,324710
166354,24247
525412,60898
70626,196934
10754,797
10754,77582
10754,1124
428802,428796
7836,227568
46f4a210-ccc3-472a-884a-a1b06ebdb6da,7
46f4a210-ccc3-472a-884a-a1b06ebdb6da,5016
46f4a210-ccc3-472a-884a-a1b06ebdb6da,20752
46f4a210-ccc3-472a-884a-a1b06ebdb6da,128836
46f4a210-ccc3-472a-884a-a1b06ebdb6da,11744
46f4a210-ccc3-472a-884a-a1b06ebdb6da,233780
46f4a210-ccc3-472a-884a-a1b06ebdb6da,73715
46f4a210-ccc3-472a-884a-a1b06ebdb6da,4
46f4a210-ccc3-472a-884a-a1b06ebdb6da,28938
46f4a210-ccc3-472a-884a-a1b06ebdb6da,7680
183572,5016
183572,171454
197756,91034
172284,28938
26251,5592
26251,48268
26251,233780
26251,5016
72175,233780
127210,59231
283448,28938
226430,28938
7629,4124
7629,28938
7629,126792
7629,5016
505210,7629
38971,76934
38971,198368
38971,397354
38971,54429
38971,258032
38971,797
38971,2630
38971,25498
38971,46390
38971,9310
433852,144158
211012,73715
328094,8
328094,495112
328094,4
328094,96
328094,5016
328094,28938
272622,108428
272622,235402
272622,128836
272622,18390
272622,259098
44533,38923
44674,5016
147506,28938
63863,119530
29354,42673
56331,399696
496916,6103
496916,32454
496916,11820
496916,9571
496916,11744
496916,40855
496916,5016
496916,41278
496916,67789
496916,15773
62145,534822
172320,165448
579932,183572
7204,28938
33975,5016
33975,2ab1b50d-7e11-4431-812a-8412fc634a4c
33975,450260
33975,746504
33975,4795
33975,2070
466896,20990
466896,21960
175758,20309
13298,28938
47954,126792
47954,19883
47954,84443
47954,6997
47954,29633
47954,15773
47954,9688
47954,10843
47954,28938
47954,31176
10937,7253
243916,24230
57329,57334
127582,94318b9d-1e84-4c08-97a7-d09fd31a9f1a
127582,49846
127582,5016
127582,537270
127582,
34425,5016
878284d9-d00e-4bde-beb4-0c014b61ec2d,82556
878284d9-d00e-4bde-beb4-0c014b61ec2d,f4896316-9259-4c7c-9746-ae17438c917f
11132,171046
1969,231040
89548,67094
308726,7253
56566,222368
56566,276834
198368,38971
234758,71275
759,5016
759,295964
759,24230
326576,24286
135006,259098
135006,11744
56529,97220
288872,5016
288872,19728
288872,14066
58719a644ed4f,73715
58719a644ed4f,11744
58719a644ed4f,128836
58719a644ed4f,7680
58719a644ed4f,4
58719a644ed4f,7
58719a644ed4f,20752
58719a644ed4f,233780
58719a644ed4f,5016
58719a644ed4f,28938
29820,45778
191048,73853
98766,172946
4106,59159
574904,5016
78479,78450
3919,37000
3919,124824
121356,19728
121356,293780
159110,345
19409,28938
313156,113004
313156,46845
9059,65580
80626,66014
295406,144060
62434,69944
176622,18905
79067,5016
79067,34719
79067,64213
79067,4
79067,78541
79067,77091
79067,73933
79067,72188
35019,42011
11665,17263
70916,30951
70916,5016
143700,15064
6781,24230
151412,53176
81145,398118
57782,1060
69688,14175
69688,69245
69688,63398
94318b9d-1e84-4c08-97a7-d09fd31a9f1a,127582
41057,119530
365820,5016
184718,28938
184718,557610
184718,41278
184718,128836
184718,603640
184718,4
184718,61566
184718,5
184718,5016
59586,592d6f2cb96b7
557432,478
557432,553472
557432,115576
557432,69895
557432,547034
210154,180356
210154,37366
210154,44509
210154,4264
210154,233780
210154,41278
210154,5016
358506,180356
106604,97356
106604,5fd86cb1-2791-43c3-9a87-2f58afaa02dc
106604,28938
106604,5016
4318,28938
4318,4
553102,14199
553102,553914
387052,5016
179668,15034
538174,429440
538174,180356
538174,5592
538174,30951
538174,7680
538174,5016
538174,28938
538174,126792
538174,4
538174,7
23908,57675
23908,29990
23908,20399
74206,11744
74206,69737
74206,34206
74206,5016
83905,42673
262894,28938
38513,5016
38513,7629
38513,28938
419454,137
140254,10249
78172,20589
78029,78103
537270,753311
537270,
261856,106518
9184,40855
92858,94472
10321,16533
10321,73853
199322,198878
10051,247
7,5016
7,4900
7,28938
7,4074
7,4
7,128836
70609,24230
30951,11744
30951,41278
30951,233780
30951,20589
30951,5016
30951,28938
30951,34206
19272,5016
144158,456704
144158,67311
144158,64213
144158,5016
144158,54429
144158,123670
144158,8
144158,4
144158,7
144158,128836
226246,119530
226246,18390
226246,141422
226246,128836
226246,58406
226246,259098
29448,28938
29448,5016
220528,5016
10048,229256
402294,251666
113890,540158
113890,112982
235476,37000
34064,5016
34064,28938
146134,16166
62863,38977
77836,17263
77836,28938
129182,54429
119530,108428
119530,131640
119530,182722
119530,41278
119530,75005
119530,171454
119530,18390
119530,265330
119530,63863
119530,199580
407360,56068
77796,83545
21773,297860
21773,208982
21773,37479
450260,14199
232180,550506
232180,43066
232180,63127
686248,67178
38305,119530
121644,409044
12847,52200
75710,20752
75710,5016
276752,273094
82208,57675
301948,103328
270608,7680
270608,5592
270608,11744
270608,5016
270608,20752
270608,28938
270608,25498
270608,2630
270178,328094
3167,102926
472766,48770
70703,4
97356,106604
8285,7
65943,65327
65943,30951
680526,103866
213266,46956
349012,11744
349012,41278
349012,30951
349012,34206
75062,310262
75062,18623
8018,199580
242,7
87264,41278
87264,5016
87264,84972
87264,11744
87264,87280
238068,266338
86080,2525
42011,35019
42011,28938
180356,210154
180356,344368
180356,73853
180356,128910
180356,270456
180356,238202
180356,5592
180356,226246
180356,135006
180356,259884
58406,182722
58406,18390
58406,259098
58406,128836
58406,11744
58406,4
58406,7
58406,5016
34206,84443
34206,13384
34206,5016
34206,4900
34206,7130
34206,30951
34206,113004
199108,273966
23776,24230
275494,740811
310894,1628
318738,18034
171046,11132
17936,33975
17936,73634
221702,42673
236650,52635
236650,23135
56068,407360
187760,285752
524586,79639
226100,5016
790,28938
790,4900
254150,5016
215782,42673
215782,112892
215782,51922
235862,511552
235862,37505
317218,5016
260684,314830
260684,162614
178568,16205
99986,52206
451794,20990
3526,18513
3526,20266
3526,233780
3526,7253
3526,20589
3526,48068
3526,11744
3526,47954
3526,15773
3526,10843
474374,102926
64701,34262
64701,538174
64701,48268
64701,45778
64701,13208
64701,233780
64701,11744
64701,28938
54634,104146
54634,240014
51414,5016
503,627
503,3688
274476,28938
274476,135550
274476,40212
633,5016
78657,28938
165318,73715
dc8ceba5-90fa-4e47-bb9e-cae65fa378df,5016
185730,171454
185730,119530
185730,493754
185730,28257
14619,290270
10903,58162
10903,45779
292974,11744
292974,128836
277932,31750
712170,36947
61757,30951
301734,233780
301734,20038
301734,280948
301734,282640
301734,28938
84443,478
84443,22855
84443,34206
84443,4
84443,41278
84443,16579
84443,90848
84443,4074
84443,2996
84443,80868
32534,4
32534,11744
186610,303782
663244,5016
68571,41278
117982,42743
319372,14199
121272,5515
121272,28938
84366,279538
60429,394008
60429,17988
12019,73715
582646,510684
40f99ab7-faf8-4312-afd5-ccbbc296cd15,19416
443814,183722
37366,41278
37366,13268
37366,5016
37366,42335
37366,70737
37366,4
14948,28938
302664,34474
302664,20752
302664,30951
302664,235862
302664,24230
18,7
18,27
66906,42197
315742,28938
423116,383578
63034,28938
63034,42880
81281,60905
164622,1154
189036,6990
75174,28938
25213,5016
327890,5016
14019,5016
14019,28938
268680,73715
14199,73853
14199,30951
14199,20589
14199,41278
14199,19728
14199,20752
14199,4
14199,7680
14199,28938
14199,11744
112892,42673
15032,41278
90848,84443
37841,317576
37841,191954
48068,5016
48068,11744
48068,62936
12185,1259
12185,28938
40074,260510
169234,549154
244814,107244
76803,24246
76803,127424
82492,38591
173268,79436
269350,249496
85075,21633
85075,3688
247,18513
247,79628
247,113004
247,70957
247,11744
247,10051
5507,5016
5507,61566
83688,379446
57675,57334
57675,199580
57675,14709
57675,23908
57675,53176
57675,82208
48941,242
48941,8
48941,64213
48941,4
48941,69823
105726,30931
67244,71275
20752,73715
20752,289236
20752,42778
20752,28938
20752,25498
20752,2630
20752,7680
20752,46390
20752,96
20752,4
236040,41278
177104,3022
75503,254540
141154,93164
141154,81890
141154,84822
7130,34206
123392,557230
165312,115730
293766,5255
61253,5016
316126,271886
